"filename", "language", "Dart", "YAML", "Markdown", "Swift", "C++", "JSON", "HTML", "Properties", "XML", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\Flutter projects\detailing\lib\features\firebase\models\services_model\services_model.freezed.dart", "Dart", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 51, 347
"d:\Flutter projects\detailing\lib\features\firebase\models\services_model\services_model.g.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 36
"d:\Flutter projects\detailing\lib\features\firebase\models\time_stamps\time_stamps.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Flutter projects\detailing\lib\features\firebase\models\time_stamps\time_stamps.freezed.dart", "Dart", 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 51, 308
"d:\Flutter projects\detailing\lib\features\firebase\models\time_stamps\time_stamps.g.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 32
"d:\Flutter projects\detailing\lib\features\firebase\service\authentication_service.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Flutter projects\detailing\lib\features\firebase\service\firestore_service.dart", "Dart", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 91
"d:\Flutter projects\detailing\lib\features\firebase\view\check_page.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Flutter projects\detailing\lib\features\l10n\app_en.arb", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Flutter projects\detailing\lib\features\l10n\app_ru.arb", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Flutter projects\detailing\lib\features\sqlite\models\body_ratio.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 48
"d:\Flutter projects\detailing\lib\features\sqlite\models\car.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"d:\Flutter projects\detailing\lib\features\sqlite\models\customer.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 87
"d:\Flutter projects\detailing\lib\features\sqlite\models\order.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 80
"d:\Flutter projects\detailing\lib\features\sqlite\models\service.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"d:\Flutter projects\detailing\lib\features\sqlite\models\service_order.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"d:\Flutter projects\detailing\lib\features\sqlite\operations\car_operations.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Flutter projects\detailing\lib\features\sqlite\operations\customer_operations.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\Flutter projects\detailing\lib\features\sqlite\poless_database.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 49
"d:\Flutter projects\detailing\lib\features\yandex_map\key.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
